Year,Units,Territorio,Value
2010,Índice,ES,84.23
2010,Índice,ES53,84.40
2011,Índice,ES,85.90
2011,Índice,ES53,85.50
2012,Índice,ES,87.88
2012,Índice,ES53,87.50
2013,Índice,ES,90.42
2013,Índice,ES53,90.10
2014,Índice,ES,90.10
2014,Índice,ES53,90.10
2015,Índice,ES,91.18
2015,Índice,ES53,91.80
2016,Índice,ES,92.46
2016,Índice,ES53,93.20
2017,Índice,ES,93.63
2017,Índice,ES53,94.20
2018,Índice,ES,95.13
2018,Índice,ES53,95.40
2019,Índice,ES,96.09
2019,Índice,ES53,96.20
2020,Índice,ES,98.40
2020,Índice,ES53,98.10
2021,Índice,ES,100.00
2021,Índice,ES53,100.00
2022,Índice,ES,111.89
2022,Índice,ES53,110.80
2023,Índice,ES,124.89
2023,Índice,ES53,123.50
