Year,Units,Territorio,Value
2010,Por 1.000,ES,0.04
2010,Por 1.000,ES53,0.07
2011,Por 1.000,ES,0.04
2011,Por 1.000,ES53,0.05
2012,Por 1.000,ES,0.03
2012,Por 1.000,ES53,0.06
2013,Por 1.000,ES,0.03
2013,Por 1.000,ES53,0.05
2014,Por 1.000,ES,0.03
2014,Por 1.000,ES53,0.03
2015,Por 1.000,ES,0.03
2015,Por 1.000,ES53,0.04
2016,Por 1.000,ES,0.03
2016,Por 1.000,ES53,0.04
2017,Por 1.000,ES,0.03
2017,Por 1.000,ES53,0.02
2018,Por 1.000,ES,0.02
2018,Por 1.000,ES53,0.03
2019,Por 1.000,ES,0.02
2019,Por 1.000,ES53,0.04
2020,Por 1.000,ES,0.02
2020,Por 1.000,ES53,0.03
2021,Por 1.000,ES,0.02
2021,Por 1.000,ES53,0.04
2022,Por 1.000,ES,0.02
2022,Por 1.000,ES53,0.03
