Year,Units,Territorio,Value
2010,Por 1.000,ES,0.00
2010,Por 1.000,ES53,0.00
2011,Por 1.000,ES,0.00
2011,Por 1.000,ES53,0.00
2012,Por 1.000,ES,0.00
2012,Por 1.000,ES53,0.00
2013,Por 1.000,ES,0.00
2013,Por 1.000,ES53,0.00
2014,Por 1.000,ES,0.00
2014,Por 1.000,ES53,0.00
2015,Por 1.000,ES,0.00
2015,Por 1.000,ES53,0.00
2016,Por 1.000,ES,0.00
2016,Por 1.000,ES53,0.00
2017,Por 1.000,ES,0.00
2017,Por 1.000,ES53,0.00
2018,Por 1.000,ES,0.00
2018,Por 1.000,ES53,0.00
2019,Por 1.000,ES,0.00
2019,Por 1.000,ES53,0.00
2020,Por 1.000,ES,0.00
2020,Por 1.000,ES53,0.00
2021,Por 1.000,ES,0.00
2021,Por 1.000,ES53,0.00
2022,Por 1.000,ES,0.00
2022,Por 1.000,ES53,0.00
