Year,Units,Territorio,Value
2015,Por 100.000,ES,93.41
2015,Por 100.000,ES53,104.95
2016,Por 100.000,ES,89.85
2016,Por 100.000,ES53,103.95
2016,Por 100.000,ES531,138.05
2016,Por 100.000,ES532,95.74
2016,Por 100.000,ES533,122.00
2017,Por 100.000,ES,87.01
2017,Por 100.000,ES53,96.77
2017,Por 100.000,ES531,121.29
2017,Por 100.000,ES532,93.19
2017,Por 100.000,ES533,87.30
2018,Por 100.000,ES,86.48
2018,Por 100.000,ES53,114.01
2018,Por 100.000,ES531,8.48
2018,Por 100.000,ES532,136.06
2018,Por 100.000,ES533,90.41
2019,Por 100.000,ES,89.26
2019,Por 100.000,ES53,104.99
2019,Por 100.000,ES531,138.34
2019,Por 100.000,ES532,97.81
2019,Por 100.000,ES533,114.53
2020,Por 100.000,ES,63.96
2020,Por 100.000,ES53,89.93
2020,Por 100.000,ES531,101.58
2020,Por 100.000,ES532,87.54
2020,Por 100.000,ES533,92.15
2021,Por 100.000,ES,80.02
2021,Por 100.000,ES53,107.56
2021,Por 100.000,ES531,108.63
2021,Por 100.000,ES531_071,48.81
2021,Por 100.000,ES531_072,113.25
2021,Por 100.000,ES532,104.65
2021,Por 100.000,ES533,133.18
2022,Por 100.000,ES53,96.75
2022,Por 100.000,ES531,118.58
2022,Por 100.000,ES532,96.81
2022,Por 100.000,ES533,57.34
