Year,Units,Territorio,Value
2010,Por 10.000 habitantes,ES,56.34
2010,Por 10.000 habitantes,ES53,52.73
2011,Por 10.000 habitantes,ES,57.30
2011,Por 10.000 habitantes,ES53,53.30
2012,Por 10.000 habitantes,ES,56.62
2012,Por 10.000 habitantes,ES53,43.28
2013,Por 10.000 habitantes,ES,57.12
2013,Por 10.000 habitantes,ES53,45.20
2014,Por 10.000 habitantes,ES,59.02
2014,Por 10.000 habitantes,ES53,47.90
2015,Por 10.000 habitantes,ES,61.10
2015,Por 10.000 habitantes,ES53,51.42
2016,Por 10.000 habitantes,ES,62.64
2016,Por 10.000 habitantes,ES53,53.28
2017,Por 10.000 habitantes,ES,64.02
2017,Por 10.000 habitantes,ES53,53.90
2018,Por 10.000 habitantes,ES,65.34
2018,Por 10.000 habitantes,ES53,54.98
2019,Por 10.000 habitantes,ES,66.54
2019,Por 10.000 habitantes,ES53,56.24
2020,Por 10.000 habitantes,ES,68.34
2020,Por 10.000 habitantes,ES53,57.94
2021,Por 10.000 habitantes,ES,69.32
2021,Por 10.000 habitantes,ES53,59.04
2022,Por 10.000 habitantes,ES,69.94
2022,Por 10.000 habitantes,ES53,59.48
2023,Por 10.000 habitantes,ES,71.18
2023,Por 10.000 habitantes,ES53,59.72
