Indicator,Disaggregations,Number of disaggregations
#1-2-1-SERIE-A,Territorio,1
#1-2-1-SERIE-C,Territorio,1
#1-2-1-SERIE-D,"Territorio, Serie, Serie temporal, Umbral de pobreza",4
#1-2-2-SERIE-A,Territorio,1
#1-2-2-SERIE-B,Territorio,1
#1-2-2-SERIE-C,Territorio,1
#1-4-1-SERIE-A,Territorio,1
#1-4-1-SERIE-B,Territorio,1
#1-4-1-SERIE-C,Territorio,1
#1-5-2-SERIE-A,Territorio,1
#1-a-2-SERIE-B,Territorio,1
#15-3-1-a,Urbanisation,1
#2-2-2-SERIE-A,Territorio,1
#2-4-1-SERIE-B,Territorio,1
#2-4-1-SERIE-C,Territorio,1
#2-4-1-SERIE-G,Territorio,1
#2-c-1-SERIE-A,Territorio,1
#3-1-2-SERIE-A,Territorio,1
#3-2-1-SERIE-A,Territorio,1
#3-3-1-SERIE-C,Territorio,1
#3-3-2-SERIE-A,Territorio,1
#3-3-2-SERIE-C,Territorio,1
#3-3-3-SERIE-A,Territorio,1
#3-4-1-SERIE-C,Territorio,1
#3-5-1-SERIE-E,Territorio,1
#3-6-1-SERIE-A,Territorio,1
#3-7-1-SERIE-A,Territorio,1
#3-9-3-SERIE-A,Territorio,1
#3-a-1-SERIE-A,Territorio,1
#3-b-1-SERIE-A,Territorio,1
#3-b-1-SERIE-B,Territorio,1
#3-c-1-SERIE-B,Territorio,1
#3-c-1-SERIE-C,Territorio,1
#3-c-1-SERIE-D,Territorio,1
