Indicator,Disaggregation combinations using this value
#1-2-1-SERIE-A,1
#1-2-1-SERIE-C,1
#1-2-1-SERIE-D,4
#1-2-2-SERIE-A,1
#1-2-2-SERIE-B,1
#1-2-2-SERIE-C,1
#1-4-1-SERIE-A,1
#1-4-1-SERIE-B,1
#1-4-1-SERIE-C,1
#1-5-2-SERIE-A,1
#1-a-2-SERIE-B,1
#2-2-2-SERIE-A,1
#2-4-1-SERIE-B,1
#2-4-1-SERIE-C,1
#2-4-1-SERIE-G,1
#2-c-1-SERIE-A,1
#3-1-2-SERIE-A,1
#3-2-1-SERIE-A,1
#3-3-1-SERIE-C,1
#3-3-2-SERIE-A,1
#3-3-2-SERIE-C,1
#3-3-3-SERIE-A,1
#3-4-1-SERIE-C,1
#3-5-1-SERIE-E,1
#3-6-1-SERIE-A,1
#3-7-1-SERIE-A,1
#3-9-3-SERIE-A,1
#3-a-1-SERIE-A,1
#3-b-1-SERIE-A,1
#3-b-1-SERIE-B,1
#3-c-1-SERIE-B,1
#3-c-1-SERIE-C,1
#3-c-1-SERIE-D,1
