Year,Units,Territorio,Value
2010,Porcentaje,ES,17.63
2010,Porcentaje,ES53,22.14
2011,Porcentaje,ES,17.82
2011,Porcentaje,ES53,17.9
2012,Porcentaje,ES,18.98
2012,Porcentaje,ES53,20.61
2013,Porcentaje,ES,18.69
2013,Porcentaje,ES53,19.5
2014,Porcentaje,ES,19.88
2014,Porcentaje,ES53,18.38
2015,Porcentaje,ES,19.51
2015,Porcentaje,ES53,21.99
2016,Porcentaje,ES,19.81
2016,Porcentaje,ES53,15.97
2017,Porcentaje,ES,19.69
2017,Porcentaje,ES53,23.77
2018,Porcentaje,ES,19.14
2018,Porcentaje,ES53,12.8
2019,Porcentaje,ES,18.59
2019,Porcentaje,ES53,14.8
2020,Porcentaje,ES,18.65
2020,Porcentaje,ES53,16.06
2021,Porcentaje,ES,19.12
2021,Porcentaje,ES53,20.17
2022,Porcentaje,ES,17.75
2022,Porcentaje,ES53,15.25
2023,Porcentaje,ES,17.37
2023,Porcentaje,ES53,15.42
