Year,Units,Territorio,Value
2010,Índice,ES,84.23
2010,Índice,ES53,84.4
2011,Índice,ES,85.9
2011,Índice,ES53,85.5
2012,Índice,ES,87.88
2012,Índice,ES53,87.5
2013,Índice,ES,90.42
2013,Índice,ES53,90.1
2014,Índice,ES,90.1
2014,Índice,ES53,90.1
2015,Índice,ES,91.18
2015,Índice,ES53,91.8
2016,Índice,ES,92.46
2016,Índice,ES53,93.2
2017,Índice,ES,93.63
2017,Índice,ES53,94.2
2018,Índice,ES,95.13
2018,Índice,ES53,95.4
2019,Índice,ES,96.09
2019,Índice,ES53,96.2
2020,Índice,ES,98.4
2020,Índice,ES53,98.1
2021,Índice,ES,100.0
2021,Índice,ES53,100.0
2022,Índice,ES,111.89
2022,Índice,ES53,110.8
2023,Índice,ES,124.89
2023,Índice,ES53,123.5
