Year,Units,Territorio,Value
2010,Por 1.000 nacidos vivos,ES,3.87
2010,Por 1.000 nacidos vivos,ES53,4.26
2010,Por 1.000 nacidos vivos,ES531_071,0.0
2010,Por 1.000 nacidos vivos,ES531_072,3.07
2010,Por 1.000 nacidos vivos,ES532,4.26
2010,Por 1.000 nacidos vivos,ES533,6.35
2011,Por 1.000 nacidos vivos,ES,3.81
2011,Por 1.000 nacidos vivos,ES53,4.44
2011,Por 1.000 nacidos vivos,ES531_071,0.0
2011,Por 1.000 nacidos vivos,ES531_072,3.73
2011,Por 1.000 nacidos vivos,ES532,4.23
2011,Por 1.000 nacidos vivos,ES533,8.02
2012,Por 1.000 nacidos vivos,ES,3.72
2012,Por 1.000 nacidos vivos,ES53,3.45
2012,Por 1.000 nacidos vivos,ES531_071,0.0
2012,Por 1.000 nacidos vivos,ES531_072,2.16
2012,Por 1.000 nacidos vivos,ES532,3.81
2012,Por 1.000 nacidos vivos,ES533,2.4
2013,Por 1.000 nacidos vivos,ES,3.37
2013,Por 1.000 nacidos vivos,ES53,3.13
2013,Por 1.000 nacidos vivos,ES531_071,0.0
2013,Por 1.000 nacidos vivos,ES531_072,0.74
2013,Por 1.000 nacidos vivos,ES532,3.86
2013,Por 1.000 nacidos vivos,ES533,0.0
2014,Por 1.000 nacidos vivos,ES,3.41
2014,Por 1.000 nacidos vivos,ES53,3.19
2014,Por 1.000 nacidos vivos,ES531_071,0.0
2014,Por 1.000 nacidos vivos,ES531_072,2.76
2014,Por 1.000 nacidos vivos,ES532,3.46
2014,Por 1.000 nacidos vivos,ES533,1.36
2015,Por 1.000 nacidos vivos,ES,3.16
2015,Por 1.000 nacidos vivos,ES53,3.3
2015,Por 1.000 nacidos vivos,ES531_071,8.4
2015,Por 1.000 nacidos vivos,ES531_072,8.05
2015,Por 1.000 nacidos vivos,ES532,2.63
2015,Por 1.000 nacidos vivos,ES533,1.36
2016,Por 1.000 nacidos vivos,ES,3.27
2016,Por 1.000 nacidos vivos,ES53,3.96
2016,Por 1.000 nacidos vivos,ES531_071,0.0
2016,Por 1.000 nacidos vivos,ES531_072,2.59
2016,Por 1.000 nacidos vivos,ES532,4.39
2016,Por 1.000 nacidos vivos,ES533,2.65
2017,Por 1.000 nacidos vivos,ES,3.26
2017,Por 1.000 nacidos vivos,ES53,3.79
2017,Por 1.000 nacidos vivos,ES531_071,10.1
2017,Por 1.000 nacidos vivos,ES531_072,2.9
2017,Por 1.000 nacidos vivos,ES532,4.2
2017,Por 1.000 nacidos vivos,ES533,0.0
2018,Por 1.000 nacidos vivos,ES,3.29
2018,Por 1.000 nacidos vivos,ES53,2.72
2018,Por 1.000 nacidos vivos,ES531_071,0.0
2018,Por 1.000 nacidos vivos,ES531_072,3.47
2018,Por 1.000 nacidos vivos,ES532,2.62
2018,Por 1.000 nacidos vivos,ES533,2.74
2019,Por 1.000 nacidos vivos,ES,3.27
2019,Por 1.000 nacidos vivos,ES53,3.93
2019,Por 1.000 nacidos vivos,ES531_071,0.0
2019,Por 1.000 nacidos vivos,ES531_072,4.35
2019,Por 1.000 nacidos vivos,ES532,3.7
2019,Por 1.000 nacidos vivos,ES533,6.24
2020,Por 1.000 nacidos vivos,ES,3.13
2020,Por 1.000 nacidos vivos,ES53,2.75
2020,Por 1.000 nacidos vivos,ES531_071,0.0
2020,Por 1.000 nacidos vivos,ES531_072,1.59
2020,Por 1.000 nacidos vivos,ES532,3.09
2020,Por 1.000 nacidos vivos,ES533,1.49
2021,Por 1.000 nacidos vivos,ES,3.06
2021,Por 1.000 nacidos vivos,ES53,2.52
2021,Por 1.000 nacidos vivos,ES531_071,0.0
2021,Por 1.000 nacidos vivos,ES531_072,3.17
2021,Por 1.000 nacidos vivos,ES532,2.66
2021,Por 1.000 nacidos vivos,ES533,0.0
2022,Por 1.000 nacidos vivos,ES,3.34
2022,Por 1.000 nacidos vivos,ES53,2.42
2022,Por 1.000 nacidos vivos,ES531_071,0.0
2022,Por 1.000 nacidos vivos,ES531_072,2.45
2022,Por 1.000 nacidos vivos,ES532,2.38
2022,Por 1.000 nacidos vivos,ES533,3.11
