Year,Units,Territorio,Value
2010,Porcentaje,ES53,-1.1
2011,Porcentaje,ES,-1.18
2011,Porcentaje,ES53,-0.85
2012,Porcentaje,ES,-2.99
2012,Porcentaje,ES53,-2.18
2013,Porcentaje,ES,-1.05
2013,Porcentaje,ES53,-2.01
2014,Porcentaje,ES,1.72
2014,Porcentaje,ES53,2.39
2015,Porcentaje,ES,3.95
2015,Porcentaje,ES53,3.15
2016,Porcentaje,ES,2.94
2016,Porcentaje,ES53,3.07
2017,Porcentaje,ES,2.79
2017,Porcentaje,ES53,1.85
2018,Porcentaje,ES,1.84
2018,Porcentaje,ES53,1.19
2019,Porcentaje,ES,1.18
2019,Porcentaje,ES53,0.12
2020,Porcentaje,ES,-11.65
2020,Porcentaje,ES53,-21.89
2021,Porcentaje,ES,6.35
2021,Porcentaje,ES53,11.43
2022,Porcentaje,ES,4.83
2022,Porcentaje,ES53,10.94
