Year,Units,Territorio,Serie,Serie temporal,Umbral de pobreza,Value
2010.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.72
2010.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.71
2011.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.65
2011.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.0
2012.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.83
2012.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,19.86
2013.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.38
2013.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,19.77
2014.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.23
2014.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,17.87
2015.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.13
2015.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.69
2016.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,22.35
2016.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,15.55
2017.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.61
2017.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.25
2018.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.54
2018.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,15.37
2019.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.66
2019.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,12.05
2020.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.97
2020.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,14.07
2021.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,21.67
2021.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,17.62
2022.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.45
2022.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,16.95
2023.0,Porcentaje,ES,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,20.2
2023.0,Porcentaje,ES53,Serie A,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral nacional de pobreza,15.35
2010.0,Porcentaje,ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.48
2010.0,Porcentaje,ES53,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,24.96
2011.0,Porcentaje,ES,Serie B,Proporción de personas en riesgo de pobreza relativa según umbral de pobreza,Umbral autonómico de pobreza,19.37
