Year,Units,Territorio,Value
2010,Kilogramos,ES,17.2
2010,Kilogramos,ES53,11.5
2011,Kilogramos,ES,16.58
2011,Kilogramos,ES53,12.47
2012,Kilogramos,ES,16.52
2012,Kilogramos,ES53,12.29
2013,Kilogramos,ES,16.63
2013,Kilogramos,ES53,11.54
2014,Kilogramos,ES,17.48
2014,Kilogramos,ES53,11.37
2015,Kilogramos,ES,17.58
2015,Kilogramos,ES53,10.57
2016,Kilogramos,ES,17.6
2016,Kilogramos,ES53,10.48
2017,Kilogramos,ES,17.99
2017,Kilogramos,ES53,10.2
2018,Kilogramos,ES,17.78
2018,Kilogramos,ES53,10.02
2019,Kilogramos,ES,17.44
2019,Kilogramos,ES53,10.11
2020,Kilogramos,ES,17.72
2020,Kilogramos,ES53,10.0
2021,Kilogramos,ES,17.41
2021,Kilogramos,ES53,9.46
2022,Kilogramos,ES,16.85
2022,Kilogramos,ES53,9.41
