Year,Units,Territorio,Value
2012,Por 100.000,ES,12.79
2012,Por 100.000,ES53,12.98
2013,Por 100.000,ES,11.9
2013,Por 100.000,ES53,10.94
2014,Por 100.000,ES,11.44
2014,Por 100.000,ES53,12.0
2015,Por 100.000,ES,10.82
2015,Por 100.000,ES53,9.43
2016,Por 100.000,ES,10.93
2016,Por 100.000,ES53,9.8
2017,Por 100.000,ES,10.07
2017,Por 100.000,ES53,11.73
2018,Por 100.000,ES,10.0
2018,Por 100.000,ES53,10.37
2019,Por 100.000,ES,9.98
2019,Por 100.000,ES53,6.52
2020,Por 100.000,ES,8.07
2020,Por 100.000,ES53,6.27
2021,Por 100.000,ES,7.72
2021,Por 100.000,ES53,6.94
2022,Por 100.000,ES,7.79
2022,Por 100.000,ES53,5.93
