Year,Units,Territorio,Value
2010,Kilotoneladas,ES,434.76
2010,Kilotoneladas,ES53,2.16
2011,Kilotoneladas,ES,422.66
2011,Kilotoneladas,ES53,2.35
2012,Kilotoneladas,ES,420.15
2012,Kilotoneladas,ES53,2.32
2013,Kilotoneladas,ES,423.22
2013,Kilotoneladas,ES53,2.18
2014,Kilotoneladas,ES,443.33
2014,Kilotoneladas,ES53,2.16
2015,Kilotoneladas,ES,444.13
2015,Kilotoneladas,ES53,1.98
2016,Kilotoneladas,ES,444.41
2016,Kilotoneladas,ES53,1.96
2017,Kilotoneladas,ES,456.37
2017,Kilotoneladas,ES53,2.03
2018,Kilotoneladas,ES,449.71
2018,Kilotoneladas,ES53,1.97
2019,Kilotoneladas,ES,440.81
2019,Kilotoneladas,ES53,1.96
2020,Kilotoneladas,ES,447.58
2020,Kilotoneladas,ES53,1.93
2021,Kilotoneladas,ES,440.68
2021,Kilotoneladas,ES53,1.81
2022,Kilotoneladas,ES,425.43
2022,Kilotoneladas,ES53,1.78
