Year,Units,Territorio,Value
2010,Por 10.000 habitantes,ES,13.76
2010,Por 10.000 habitantes,ES53,10.74
2011,Por 10.000 habitantes,ES,13.88
2011,Por 10.000 habitantes,ES53,10.84
2012,Por 10.000 habitantes,ES,14.02
2012,Por 10.000 habitantes,ES53,11.02
2013,Por 10.000 habitantes,ES,14.34
2013,Por 10.000 habitantes,ES53,11.06
2014,Por 10.000 habitantes,ES,14.72
2014,Por 10.000 habitantes,ES53,11.22
2015,Por 10.000 habitantes,ES,15.04
2015,Por 10.000 habitantes,ES53,11.44
2016,Por 10.000 habitantes,ES,15.3
2016,Por 10.000 habitantes,ES53,11.52
2017,Por 10.000 habitantes,ES,15.54
2017,Por 10.000 habitantes,ES53,11.58
2018,Por 10.000 habitantes,ES,15.78
2018,Por 10.000 habitantes,ES53,11.72
2019,Por 10.000 habitantes,ES,15.9
2019,Por 10.000 habitantes,ES53,11.8
2020,Por 10.000 habitantes,ES,16.2
2020,Por 10.000 habitantes,ES53,12.06
2021,Por 10.000 habitantes,ES,16.44
2021,Por 10.000 habitantes,ES53,12.04
2022,Por 10.000 habitantes,ES,16.48
2022,Por 10.000 habitantes,ES53,11.98
2023,Por 10.000 habitantes,ES,16.52
2023,Por 10.000 habitantes,ES53,12.02
