Year,Units,Territorio,Value
2014,Porcentaje,ES,30.21
2014,Porcentaje,ES53,24.17
2015,Porcentaje,ES,28.68
2015,Porcentaje,ES53,26.63
2016,Porcentaje,ES,28.82
2016,Porcentaje,ES53,21.53
2017,Porcentaje,ES,27.46
2017,Porcentaje,ES53,25.23
2018,Porcentaje,ES,27.25
2018,Porcentaje,ES53,17.27
2019,Porcentaje,ES,26.16
2019,Porcentaje,ES53,16.52
2020,Porcentaje,ES,26.97
2020,Porcentaje,ES53,19.98
2021,Porcentaje,ES,27.82
2021,Porcentaje,ES53,22.37
2022,Porcentaje,ES,26.0
2022,Porcentaje,ES53,21.53
2023,Porcentaje,ES,26.51
2023,Porcentaje,ES53,20.56
