Year,Units,Territorio,Value
2010,Kilogramos,ES,24.95
2010,Kilogramos,ES53,71.05
2011,Kilogramos,ES,23.7
2011,Kilogramos,ES53,69.39
2012,Kilogramos,ES,23.75
2012,Kilogramos,ES53,66.1
2013,Kilogramos,ES,23.22
2013,Kilogramos,ES53,65.31
2014,Kilogramos,ES,23.78
2014,Kilogramos,ES53,58.85
2015,Kilogramos,ES,24.46
2015,Kilogramos,ES53,53.28
2016,Kilogramos,ES,24.84
2016,Kilogramos,ES53,57.47
2017,Kilogramos,ES,24.69
2017,Kilogramos,ES53,32.04
2018,Kilogramos,ES,25.38
2018,Kilogramos,ES53,30.82
2019,Kilogramos,ES,25.19
2019,Kilogramos,ES53,30.26
2020,Kilogramos,ES,24.91
2020,Kilogramos,ES53,29.21
2021,Kilogramos,ES,25.18
2021,Kilogramos,ES53,28.67
2022,Kilogramos,ES,24.11
2022,Kilogramos,ES53,28.41
