Year,Units,Territorio,Value
2012,Porcentaje,ES,30.98
2012,Porcentaje,ES53,25.97
2013,Porcentaje,ES,35.35
2013,Porcentaje,ES53,30.14
2014,Porcentaje,ES,35.36
2014,Porcentaje,ES53,30.99
2015,Porcentaje,ES,35.71
2015,Porcentaje,ES53,30.03
2016,Porcentaje,ES,36.97
2016,Porcentaje,ES53,31.53
2017,Porcentaje,ES,36.71
2017,Porcentaje,ES53,32.12
2018,Porcentaje,ES,36.46
2018,Porcentaje,ES53,30.18
2019,Porcentaje,ES,36.43
2019,Porcentaje,ES53,31.22
2020,Porcentaje,ES,38.46
2020,Porcentaje,ES53,32.44
2021,Porcentaje,ES,36.86
2021,Porcentaje,ES53,29.34
2022,Porcentaje,ES,36.16
2022,Porcentaje,ES53,32.49
