Year,Units,Territorio,Value
2010,Por 1.000,ES,0.0
2010,Por 1.000,ES53,0.0
2011,Por 1.000,ES,0.0
2011,Por 1.000,ES53,0.0
2012,Por 1.000,ES,0.0
2012,Por 1.000,ES53,0.0
2013,Por 1.000,ES,0.0
2013,Por 1.000,ES53,0.0
2014,Por 1.000,ES,0.0
2014,Por 1.000,ES53,0.0
2015,Por 1.000,ES,0.0
2015,Por 1.000,ES53,0.0
2016,Por 1.000,ES,0.0
2016,Por 1.000,ES53,0.0
2017,Por 1.000,ES,0.0
2017,Por 1.000,ES53,0.0
2018,Por 1.000,ES,0.0
2018,Por 1.000,ES53,0.0
2019,Por 1.000,ES,0.0
2019,Por 1.000,ES53,0.0
2020,Por 1.000,ES,0.0
2020,Por 1.000,ES53,0.0
2021,Por 1.000,ES,0.0
2021,Por 1.000,ES53,0.0
2022,Por 1.000,ES,0.0
2022,Por 1.000,ES53,0.0
